stop_id,stop_code,stop_name,stop_lat,stop_lon
333,3-732-01,"Reda Aquapark 01",54.5944460000,18.3651010000
334,3-781-01,"Reda Młyńska 01",54.5947330000,18.3602780000
335,3-781-02,"Reda Młyńska 02",54.5945850000,18.3603080000
337,2-449-02,"Bolszewo Zamostna - Kościół 02",54.6118600000,18.1798480000
338,2-449-01,"Bolszewo Zamostna - Kościół 01",54.6119950000,18.1799980000
339,1-213-01,"Wejherowo Krofeya 01",54.6089400000,18.1912500000
340,1-211-03,"Wejherowo Kotłowskiego 03",54.6063810000,18.1939740000
346,3-796-01,"Reda Cmentarz 01",54.5924510000,18.3366600000
347,3-796-02,"Reda Cmentarz 02",54.5923320000,18.3367450000
348,3-732-02,"Reda Aquapark 02",54.5919700000,18.3671560000
349,3-767-01,"Reda Brzozowa 01",54.6093410000,18.3530280000
350,3-766-01,"Reda Wiśniowa 01",54.6097040000,18.3569930000
351,3-743-01,"Reda Ciechocino 01",54.6177301000,18.3457307000
354,3-722-04,"Reda Dworzec PKP 04",54.5956630000,18.3536030000
355,1-221-04,"Wejherowo Odrębna 04",54.5986770000,18.2722350000
356,1-109-02,"Wejherowo Chopina 02",54.6051050000,18.2391140000
358,4-615-02,"Kochanowo 02 n/ż",54.6049770000,18.1028450000
400,2-619-02,"Gościcino Stacja Pomp 02 n/ż",54.6091900000,18.1301000000
401,4-618-02,"Kochanowo Kolonia 02 n/ż",54.6076510000,18.1219630000
402,2-619-01,"Gościcino Stacja Pomp 01 n/ż",54.6087670000,18.1317480000
403,4-617-02,"Kochanowo Kapliczka 02 n/ż",54.6061120000,18.1132680000
405,4-617-01,"Kochanowo Kapliczka 01 n/ż",54.6060860000,18.1136490000
406,4-618-01,"Kochanowo Kolonia 01 n/ż",54.6075840000,18.1220520000
408,4-614-01,"Kębłowo Ludowa 01 n/ż",54.6013260000,18.1012250000
409,4-614-02,"Kębłowo Ludowa 02 n/ż",54.6013750000,18.1010650000
413,5-713-02,"Rumia C.H. ""Port Rumia"" - Grunwaldzka 02",54.5840910000,18.3648560000
414,5-713-01,"Rumia C.H. ""Port Rumia"" - Grunwaldzka 01",54.5824480000,18.3670550000
417,3-768-02,"Reda Brzozowa - Szkoła 02",54.6111830000,18.3536180000
423,1-206-03,"Wejherowo Filharmonia Kaszubska 03",54.6035050000,18.2279580000
424,1-206-04,"Wejherowo Filharmonia Kaszubska 04",54.6039830000,18.2284380000
425,1-229-03,"Wejherowo Myśliwska 03 n/ż",54.6010110000,18.2569310000
426,1-253-01,"Wejherowo Sędzickiego SKM Śmiechowo 01",54.6012810000,18.2729880000
427,1-253-02,"Wejherowo Sędzickiego SKM Śmiechowo 02",54.6011960000,18.2745660000
428,1-103-01,"Wejherowo Gdańska - ""ZRYW"" 01",54.6029120000,18.2844410000
431,2-462-02,"Bolszewo Wspólna 02 n/ż",54.6182900000,18.1887250000
433,2-464-01,"Bolszewo Orzechowa 01",54.6182490000,18.1814030000
434,2-464-02,"Bolszewo Orzechowa 02",54.6181330000,18.1826420000
436,2-462-01,"Bolszewo Wspólna 01 n/ż",54.6187630000,18.1875470000
443,1-162-01,"Wejherowo Graniczna 01",54.6099940000,18.2266500000
516,1-164-01,"Wejherowo Karnowskiego 01",54.6126600000,18.2183500000
517,2-446-02,"Góra Jeziorna 02 n/ż",54.6357210000,18.1356360000
519,1-276-02,"Wejherowo Gryfa Pomorskiego - Kościół 02 n/ż",54.6064510000,18.2915530000
520,1-164-02,"Wejherowo Karnowskiego 02",54.6118100000,18.2189100000
521,1-105-01,"Wejherowo Reja 01 n/ż",54.6030290000,18.2694640000
527,1-235-04,"Wejherowo Dworzec PKP 04",54.6061100000,18.2310000000
565,3-779-01,"Reda Przemysłowa 01 n/ż",54.6106360000,18.3462390000
567,3-777-01,"Reda Trzcinowa 01",54.6095500000,18.3302110000
568,3-776-01,"Reda Miętowa 01 n/ż",54.6096940000,18.3230920000
618,1-238-02,"Wejherowo Bractwa Kurkowego 02 n/ż",54.5969900000,18.2073400000
634,3-742-04,"Reda Pucka - Nowa 04",54.6107880000,18.3504050000
635,3-741-03,"Reda OSP 03 n/ż",54.6069910000,18.3477420000
636,3-741-01,"Reda OSP 01 n/ż",54.6057180000,18.3465770000
637,3-799-01,"Reda os. Konopnickiej 01",54.6006120000,18.3440090000
638,3-751-02,"Reda Skautów 02 n/ż",54.6188980000,18.3459170000
641,3-778-01,"Reda Jarzębinowa 01",54.6091560000,18.3375780000
644,5-729-02,"Rumia C.H. ""Port Rumia"" - Kosynierów 02 n/ż",54.5862500000,18.3760600000
645,3-773-02,"Reda Kwiatowa 02 n/ż",54.6141350000,18.3344170000
646,3-774-02,"Reda Konwaliowa 02",54.6134880000,18.3289590000
647,3-775-02,"Reda Pieleszewo Karłowicza 02",54.6120800000,18.3228930000
655,3-758-04,"Reda Rekowo Lipowa 04",54.6383830000,18.3723080000
656,2-450-01,"Bolszewo Harcerska 01 n/ż",54.6186580000,18.1642100000
657,2-450-02,"Bolszewo Harcerska 02 n/ż",54.6181960000,18.1640390000
658,2-442-02,"Bolszewo Słowackiego 02",54.6213580000,18.1667830000
659,2-442-01,"Bolszewo Słowackiego 01",54.6210260000,18.1681600000
660,1-166-01,"Wejherowo Tartaczna 01 n/ż",54.6162270000,18.2035230000
661,1-166-02,"Wejherowo Tartaczna 02 n/ż",54.6161130000,18.2035500000
662,1-120-01,"Wejherowo Pruszkowskiego 01",54.6054770000,18.2428380000
663,1-121-01,"Wejherowo Obrońców Helu 01",54.6080510000,18.2440830000
664,1-122-03,"Wejherowo Nadrzeczna 03 n/ż",54.6098630000,18.2443410000
665,1-122-02,"Wejherowo Nadrzeczna 02 n/ż",54.6090150000,18.2443540000
666,1-122-01,"Wejherowo Nadrzeczna 01 n/ż",54.6102470000,18.2456080000
672,1-274-03,"Wejherowo Patoka 03",54.6059800000,18.2818500000
673,1-273-92,"Wejherowo Chmielewskiego 92",54.6068900000,18.2719800000
674,1-274-92,"Wejherowo Stefczyka 92",54.6051600000,18.2805900000
