route_id,direction_id,stop_sequence,stop_id,is_opt
11,0,19,664,0
11,0,20,241,0
11,0,21,239,0
11,0,22,443,0
11,0,23,75,0
11,0,24,520,0
11,0,25,76,0
11,0,26,78,0
11,0,27,828,0
11,0,28,63,0
11,0,29,62,0
11,0,30,824,0
11,0,31,340,0
11,0,32,339,0
11,1,1,339,0
11,1,2,58,0
11,1,3,66,0
11,1,4,892,0
11,1,5,61,0
11,1,6,64,0
11,1,7,827,0
11,1,8,79,0
11,1,9,852,0
11,1,10,75,0
11,1,11,520,0
11,1,12,76,0
11,1,13,236,0
11,1,14,237,0
11,1,15,238,0
11,1,16,240,0
11,1,17,666,0
11,1,18,317,0
11,1,19,318,0
11,1,20,94,0
11,1,21,818,0
11,1,22,92,0
11,1,23,108,0
11,1,24,106,0
11,1,25,111,0
11,1,26,113,0
11,1,27,843,0
11,1,28,745,0
11,1,29,134,0
11,1,30,136,0
11,1,31,138,0
11,1,32,226,0
11,1,33,228,0
11,1,34,229,0
12,0,1,294,0
12,0,2,215,0
12,0,3,217,0
12,0,4,157,0
12,0,5,155,0
12,0,6,153,0
12,0,7,677,0
12,0,8,81,0
12,0,9,853,0
12,0,10,87,0
12,0,11,356,0
12,0,12,90,0
12,0,13,118,0
12,0,14,844,0
12,0,15,112,0
12,0,16,110,0
12,0,17,107,0
12,0,18,109,0
12,0,19,662,0
12,0,20,663,0
12,0,21,666,0
12,0,22,96,0
12,0,23,743,0
12,0,24,101,0
12,0,25,98,0
12,0,26,444,0
12,0,27,869,0
12,0,28,746,0
12,0,29,451,0
12,1,1,451,0
12,1,2,747,0
12,1,3,870,0
12,1,4,445,0
12,1,5,97,0
12,1,6,102,0
12,1,7,744,0
12,1,8,95,0
12,1,9,818,0
12,1,10,92,0
12,1,11,108,0
12,1,12,106,0
12,1,13,111,0
12,1,14,113,0
12,1,15,116,0
12,1,16,89,0
12,1,17,88,0
12,1,18,86,0
12,1,19,329,0
12,1,20,83,0
12,1,21,152,0
12,1,22,618,0
12,1,23,154,0
12,1,24,156,0
12,1,25,216,0
12,1,26,235,0
12,1,27,294,0
13,1,1,318,0
13,1,2,94,0
13,1,3,664,0
13,1,4,241,0
13,1,5,239,0
13,1,6,846,0
13,1,7,891,0
13,1,8,520,0
13,1,9,76,0
13,1,10,236,0
13,1,11,237,0
